Date,AAPL,AMD,BAC,CVX,JPM,KO,MSFT,NVDA,PEP,XOM
2023-01-03,123.09602355957031,64.0199966430664,30.97426986694336,151.9012908935547,124.9287109375,57.5191535949707,233.45281982421875,14.300684928894043,162.49810791015625,95.43418884277344
2023-01-04,124.36566162109375,64.66000366210938,31.556594848632812,150.2861328125,126.09364318847656,57.491737365722656,223.24082946777344,14.73425006866455,162.09954833984375,95.71196746826172
2023-01-05,123.04681396484375,62.33000183105469,31.491901397705078,152.99258422851562,126.06575012207031,56.83385467529297,216.6244659423828,14.250736236572266,160.4058380126953,97.85343933105469
2023-01-06,127.57418823242188,63.959999084472656,31.806167602539062,154.14501953125,128.47805786132812,57.930328369140625,219.1774444580078,14.84414005279541,164.02880859375,99.03617095947266
2023-01-09,128.09584045410156,67.23999786376953,31.325510025024414,152.940185546875,127.94715118408203,57.20848083496094,221.31146240234375,15.612370491027832,162.4256134033203,97.19039154052734
2023-01-10,128.6667022705078,68.05000305175781,31.53811264038086,153.6910400390625,129.0928192138672,56.7698974609375,222.99722290039062,15.89309024810791,161.0851287841797,98.64191436767578
2023-01-11,131.38314819335938,69.05999755859375,31.778438568115234,152.95770263671875,130.0521697998047,56.66025161743164,229.74024963378906,15.984997749328613,161.26626586914062,99.78883361816406
2023-01-12,131.30441284179688,70.80000305175781,31.86163330078125,154.59901428222656,129.92173767089844,55.929264068603516,232.41017150878906,16.494487762451172,159.21023559570312,101.44644927978516
2023-01-13,132.63308715820312,71.0,32.564117431640625,155.01806640625,133.2002716064453,56.130287170410156,233.11175537109375,16.88210105895996,158.72117614746094,101.38371276855469
2023-01-17,133.79446411132812,71.58999633789062,31.90784454345703,157.5760955810547,131.1418914794922,56.35871887207031,234.20310974121094,17.68429946899414,159.4638671875,101.18659210205078
2023-01-18,133.0760040283203,70.52999877929688,31.168384552001953,154.72996520996094,127.20204162597656,54.650047302246094,229.7792205810547,17.359622955322266,155.44239807128906,99.10785675048828
2023-01-19,133.1350555419922,67.70999908447266,30.7154598236084,156.2752685546875,125.50689697265625,54.567813873291016,225.99842834472656,16.748233795166016,153.6400146484375,99.74402618408203
2023-01-20,135.6940155029297,70.06999969482422,31.28853988647461,157.93405151367188,125.81422424316406,54.89676284790039,234.076416015625,17.821163177490234,153.8664093017578,101.56291961669922
2023-01-23,138.8828582763672,76.52999877929688,31.722980499267578,157.72451782226562,127.85400390625,55.033809661865234,236.37606811523438,19.173803329467773,153.17803955078125,101.03427124023438
2023-01-24,140.28045654296875,74.69999694824219,31.95405387878418,157.8729248046875,128.95306396484375,55.32620620727539,235.84988403320312,19.245731353759766,154.60006713867188,101.97509002685547
2023-01-25,139.62100219726562,74.91000366210938,32.23134994506836,156.3450927734375,129.57711791992188,55.67341995239258,234.45645141601562,19.30367660522461,155.72317504882812,101.43748474121094
2023-01-26,141.68788146972656,75.16000366210938,32.665794372558594,163.94932556152344,130.37811279296875,55.56377410888672,241.657470703125,19.782196044921875,154.17434692382812,105.51433563232422
2023-01-27,143.6267547607422,75.4000015258789,32.76747512817383,156.66812133789062,130.69485473632812,55.271385192871094,241.81336975097656,20.344635009765625,153.63092041015625,103.58789825439453
2023-01-30,140.7430419921875,72.44999694824219,32.628814697265625,152.08462524414062,129.58645629882812,55.4084358215332,236.50274658203125,19.142839431762695,153.50413513183594,101.75108337402344
2023-01-31,142.01268005371094,75.1500015258789,32.795204162597656,151.927490234375,130.35951232910156,56.02977752685547,241.47232055664062,19.517459869384766,154.89894104003906,103.94630432128906
2023-02-01,143.13467407226562,84.63999938964844,33.20189666748047,149.6051788330078,130.01487731933594,56.038917541503906,246.2859649658203,20.922060012817383,155.3880615234375,102.80838012695312
2023-02-02,148.4395751953125,88.30999755859375,33.39601135253906,147.55352783203125,129.4095001220703,55.07949447631836,257.83294677734375,21.687294006347656,153.9479522705078,99.59169006347656
2023-02-03,152.0615692138672,86.08999633789062,33.673316955566406,147.93763732910156,131.4119873046875,54.66831970214844,251.74281311035156,21.078899383544922,153.17803955078125,100.28162384033203
2023-02-06,149.3352508544922,83.68000030517578,33.61785125732422,148.1035614013672,132.18508911132812,54.97898483276367,250.20314025878906,21.06791114807129,155.62355041503906,100.11138916015625
2023-02-07,152.20916748046875,85.91000366210938,33.98758316040039,151.9885711669922,133.79638671875,54.88761520385742,260.7171630859375,22.150827407836914,155.3880615234375,102.96965789794922
2023-02-08,149.52224731445312,84.69000244140625,33.73801803588867,148.41786193847656,132.8556671142578,54.567813873291016,259.9084777832031,22.182790756225586,155.0257568359375,102.07363891601562
2023-02-09,148.4888458251953,83.20999908447266,33.01704025268555,147.05589294433594,130.78797912597656,54.4764289855957,256.87799072265625,22.314659118652344,156.4930419921875,102.45893096923828
2023-02-10,148.8535614013672,81.4800033569336,32.887630462646484,150.13775634765625,131.36544799804688,54.4764289855957,256.3713073730469,21.243732452392578,159.59068298339844,106.7777099609375
